ID,Worry,Select
1,daily_worry_height,0
2,daily_worry_height,0
3,daily_worry_height,0
4,daily_worry_height,0
5,daily_worry_height,0
6,daily_worry_height,0
7,daily_worry_height,0
8,daily_worry_height,0
9,daily_worry_height,0
10,daily_worry_height,0
11,daily_worry_height,0
12,daily_worry_height,0
13,daily_worry_height,0
14,daily_worry_height,0
15,daily_worry_height,0
16,daily_worry_height,0
17,daily_worry_height,0
18,daily_worry_height,0
19,daily_worry_height,0
20,daily_worry_height,0
21,daily_worry_height,0
22,daily_worry_height,0
23,daily_worry_height,0
24,daily_worry_height,0
25,daily_worry_height,0
26,daily_worry_height,0
27,daily_worry_height,0
28,daily_worry_height,0
29,daily_worry_height,0
30,daily_worry_height,0
31,daily_worry_height,0
32,daily_worry_height,0
33,daily_worry_height,0
34,daily_worry_height,0
35,daily_worry_height,0
36,daily_worry_height,0
37,daily_worry_height,0
38,daily_worry_height,0
39,daily_worry_height,0
40,daily_worry_height,0
41,daily_worry_height,0
42,daily_worry_height,0
43,daily_worry_height,0
44,daily_worry_height,0
45,daily_worry_height,0
46,daily_worry_height,0
47,daily_worry_height,1
48,daily_worry_height,0
49,daily_worry_height,0
50,daily_worry_height,0
51,daily_worry_height,0
52,daily_worry_height,0
53,daily_worry_height,0
54,daily_worry_height,0
55,daily_worry_height,0
56,daily_worry_height,0
57,daily_worry_height,0
58,daily_worry_height,0
59,daily_worry_height,0
60,daily_worry_height,0
61,daily_worry_height,0
62,daily_worry_height,0
63,daily_worry_height,0
64,daily_worry_height,0
65,daily_worry_height,0
66,daily_worry_height,0
67,daily_worry_height,0
68,daily_worry_height,0
69,daily_worry_height,0
70,daily_worry_height,0
71,daily_worry_height,0
72,daily_worry_height,0
73,daily_worry_height,0
74,daily_worry_height,0
75,daily_worry_height,0
76,daily_worry_height,0
77,daily_worry_height,0
78,daily_worry_height,0
79,daily_worry_height,0
80,daily_worry_height,0
81,daily_worry_height,0
82,daily_worry_height,0
83,daily_worry_height,0
84,daily_worry_height,0
85,daily_worry_height,0
86,daily_worry_height,0
87,daily_worry_height,0
88,daily_worry_height,0
89,daily_worry_height,0
90,daily_worry_height,0
91,daily_worry_height,0
92,daily_worry_height,0
93,daily_worry_height,0
94,daily_worry_height,0
95,daily_worry_height,0
96,daily_worry_height,0
97,daily_worry_height,0
98,daily_worry_height,0
99,daily_worry_height,0
100,daily_worry_height,0
101,daily_worry_height,0
102,daily_worry_height,0
103,daily_worry_height,0
104,daily_worry_height,0
105,daily_worry_height,0
106,daily_worry_height,0
107,daily_worry_height,0
108,daily_worry_height,0
109,daily_worry_height,0
110,daily_worry_height,0
111,daily_worry_height,0
112,daily_worry_height,0
113,daily_worry_height,0
114,daily_worry_height,0
115,daily_worry_height,0
116,daily_worry_height,0
117,daily_worry_height,0
118,daily_worry_height,0
119,daily_worry_height,0
120,daily_worry_height,1
121,daily_worry_height,0
122,daily_worry_height,0
123,daily_worry_height,0
124,daily_worry_height,0
125,daily_worry_height,0
126,daily_worry_height,0
127,daily_worry_height,0
128,daily_worry_height,0
129,daily_worry_height,0
130,daily_worry_height,0
131,daily_worry_height,0
132,daily_worry_height,0
133,daily_worry_height,0
134,daily_worry_height,0
135,daily_worry_height,0
136,daily_worry_height,0
